species,Class,group,adult mass (g),log adult mass (g),hatchling / neonate mass (g),log hatchling / neonate mass (g),offspring/adult size ratio
Varanus_komodoensis,Reptilia,Sauria,32879.9,4.517,89.4,1.951,0.3%
Varanus_dumerilii,Reptilia,Sauria,2300.0,3.362,8.7,0.938,0.4%
Chamaeleo_calyptratus,Reptilia,Sauria,111.5,2.047,0.6,-0.251,0.5%
Uromastyx_aegyptia,Reptilia,Sauria,1217.0,3.085,6.5,0.812,0.5%
Ctenosaura_similis,Reptilia,Sauria,1217.1,3.085,6.9,0.839,0.6%
Varanus_flavescens,Reptilia,Sauria,717.3,2.856,4.8,0.684,0.7%
Varanus_salvadorii,Reptilia,Sauria,3127.8,3.495,23.2,1.365,0.7%
Calumma_parsonii,Reptilia,Sauria,101.6,2.007,0.8,-0.119,0.7%
Varanus_varius,Reptilia,Sauria,2242.3,3.351,17.3,1.238,0.8%
Gonocephalus_kuhlii,Reptilia,Sauria,102.6,2.011,0.8,-0.100,0.8%
Varanus_bengalensis,Reptilia,Sauria,1180.5,3.072,9.4,0.973,0.8%
Amphisbaena_alba,Reptilia,Sauria,191.9,2.283,1.5,0.185,0.8%
Varanus_ornatus,Reptilia,Sauria,3056.8,3.485,24.9,1.396,0.8%
Ctenosaura_pectinata,Reptilia,Sauria,989.2,2.995,8.2,0.911,0.8%
Varanus_albigularis,Reptilia,Sauria,3023.7,3.481,25.0,1.398,0.8%
Trioceros_melleri,Reptilia,Sauria,241.3,2.383,2.0,0.301,0.8%
Salvator_merianae,Reptilia,Sauria,1429.5,3.155,12.1,1.084,0.8%
Varanus_exanthematicus,Reptilia,Sauria,788.1,2.897,7.1,0.851,0.9%
Elgaria_multicarinata,Reptilia,Sauria,29.3,1.466,0.3,-0.575,0.9%
Chamaeleo_zeylanicus,Reptilia,Sauria,86.1,1.935,0.8,-0.088,0.9%
Intellagama_lesueurii,Reptilia,Sauria,333.1,2.523,3.2,0.506,1.0%
Salvator_rufescens,Reptilia,Sauria,1645.0,3.216,16.0,1.205,1.0%
Amphisbaena_bassleri,Reptilia,Sauria,28.5,1.455,0.3,-0.548,1.0%
Shinisaurus_crocodilurus,Reptilia,Sauria,62.0,1.793,0.6,-0.210,1.0%
Iguana_delicatissima,Reptilia,Sauria,1879.3,3.274,18.8,1.275,1.0%
Pogona_barbata,Reptilia,Sauria,138.7,2.142,1.4,0.146,1.0%
Mochlus_afer,Reptilia,Sauria,21.2,1.326,0.2,-0.668,1.0%
Cyclura_pinguis,Reptilia,Sauria,4048.3,3.607,41.1,1.613,1.0%
Enyalius_iheringii,Reptilia,Sauria,37.0,1.568,0.4,-0.418,1.0%
Cyclodomorphus_gerrardii,Reptilia,Sauria,186.0,2.270,1.9,0.289,1.0%
Varanus_mertensi,Reptilia,Sauria,1436.6,3.157,15.5,1.190,1.1%
Uromastyx_acanthinura,Reptilia,Sauria,359.9,2.556,3.9,0.589,1.1%
Chlamydosaurus_kingii,Reptilia,Sauria,333.6,2.523,3.6,0.562,1.1%
Chamaeleo_africanus,Reptilia,Sauria,72.0,1.857,0.8,-0.104,1.1%
Cyclura_cornuta,Reptilia,Sauria,4442.1,3.648,49.4,1.694,1.1%
Basiliscus_basiliscus,Reptilia,Sauria,130.3,2.115,1.5,0.162,1.1%
Varanus_salvator,Reptilia,Sauria,2683.9,3.429,29.9,1.476,1.1%
Pseudopus_apodus,Reptilia,Sauria,185.6,2.269,2.1,0.318,1.1%
Lygosoma_koratense,Reptilia,Sauria,19.1,1.281,0.2,-0.668,1.1%
Varanus_cumingi,Reptilia,Sauria,3056.8,3.485,34.5,1.538,1.1%
Abronia_ochoterenai,Reptilia,Sauria,21.0,1.322,0.2,-0.625,1.1%
Varanus_olivaceus,Reptilia,Sauria,3003.9,3.478,34.3,1.535,1.1%
Basiliscus_plumifrons,Reptilia,Sauria,111.8,2.048,1.3,0.109,1.1%
Celestus_stenurus,Reptilia,Sauria,40.6,1.609,0.5,-0.328,1.2%
Varanus_timorensis,Reptilia,Sauria,249.0,2.396,2.9,0.461,1.2%
Varanus_niloticus,Reptilia,Sauria,2682.1,3.428,32.4,1.510,1.2%
Varanus_nebulosus,Reptilia,Sauria,3114.2,3.493,38.0,1.580,1.2%
Calotes_mystaceus,Reptilia,Sauria,36.4,1.561,0.5,-0.345,1.2%
Abronia_meledona,Reptilia,Sauria,20.2,1.304,0.3,-0.600,1.2%
Acanthosaura_armata,Reptilia,Sauria,63.6,1.803,0.8,-0.100,1.3%
Mochlus_sundevallii,Reptilia,Sauria,17.1,1.234,0.2,-0.668,1.3%
Celestus_legnotus,Reptilia,Sauria,23.6,1.373,0.3,-0.527,1.3%
Gerrhonotus_infernalis,Reptilia,Sauria,36.6,1.564,0.5,-0.328,1.3%
Lophosaurus_boydii,Reptilia,Sauria,139.7,2.145,1.8,0.254,1.3%
Cyclura_collei,Reptilia,Sauria,2508.0,3.399,32.8,1.516,1.3%
Ophisaurus_ventralis,Reptilia,Sauria,35.7,1.553,0.5,-0.323,1.3%
Varanus_giganteus,Reptilia,Sauria,4072.0,3.610,54.8,1.739,1.3%
Furcifer_oustaleti,Reptilia,Sauria,95.9,1.982,1.3,0.118,1.4%
Barisia_imbricata,Reptilia,Sauria,21.8,1.338,0.3,-0.525,1.4%
Gallotia_stehlini,Reptilia,Sauria,142.3,2.153,2.0,0.292,1.4%
Anguis_colchica,Reptilia,Sauria,24.2,1.385,0.3,-0.471,1.4%
Pogona_nullarbor,Reptilia,Sauria,81.6,1.912,1.2,0.069,1.4%
Chamaeleo_senegalensis,Reptilia,Sauria,38.9,1.590,0.6,-0.251,1.4%
Plestiodon_chinensis,Reptilia,Sauria,24.2,1.384,0.4,-0.452,1.5%
Abronia_aurita,Reptilia,Sauria,22.5,1.353,0.3,-0.481,1.5%
Varanus_similis,Reptilia,Sauria,162.7,2.211,2.4,0.379,1.5%
Chamaeleo_monachus,Reptilia,Sauria,61.3,1.787,0.9,-0.038,1.5%
Chamaeleo_dilepis,Reptilia,Sauria,69.1,1.839,1.0,0.018,1.5%
Lophosaurus_spinipes,Reptilia,Sauria,58.1,1.764,0.9,-0.055,1.5%
Egernia_cunninghami,Reptilia,Sauria,218.3,2.339,3.3,0.520,1.5%
Corytophanes_cristatus,Reptilia,Sauria,37.6,1.576,0.6,-0.243,1.5%
Oplurus_fierinensis,Reptilia,Sauria,13.7,1.138,0.2,-0.677,1.5%
Bellatorias_major,Reptilia,Sauria,585.9,2.768,9.1,0.957,1.5%
Amphisbaena_fuliginosa,Reptilia,Sauria,18.2,1.260,0.3,-0.548,1.6%
Varanus_panoptes,Reptilia,Sauria,1307.1,3.116,20.4,1.309,1.6%
Saara_loricata,Reptilia,Sauria,373.1,2.572,5.8,0.766,1.6%
Elgaria_kingii,Reptilia,Sauria,21.1,1.325,0.3,-0.481,1.6%
Pogona_vitticeps,Reptilia,Sauria,124.2,2.094,1.9,0.288,1.6%
Oplurus_cuvieri,Reptilia,Sauria,75.6,1.878,1.2,0.075,1.6%
Varanus_melinus,Reptilia,Sauria,1370.0,3.137,21.6,1.334,1.6%
Ctenosaura_melanosterna,Reptilia,Sauria,355.6,2.551,5.6,0.751,1.6%
Monopeltis_anchietae,Reptilia,Sauria,9.5,0.978,0.2,-0.816,1.6%
Physignathus_cocincinus,Reptilia,Sauria,135.3,2.131,2.2,0.338,1.6%
Iguana_iguana,Reptilia,Sauria,1285.4,3.109,20.7,1.317,1.6%
Sphenomorphus_fasciatus,Reptilia,Sauria,19.1,1.281,0.3,-0.511,1.6%
Ophisaurus_compressus,Reptilia,Sauria,15.8,1.199,0.3,-0.591,1.6%
Ophisaurus_attenuatus,Reptilia,Sauria,42.9,1.632,0.7,-0.157,1.6%
Lepidothyris_fernandi,Reptilia,Sauria,27.0,1.432,0.4,-0.355,1.6%
Gonocephalus_chamaeleontinus,Reptilia,Sauria,58.9,1.770,1.0,-0.013,1.7%
Smaug_giganteus,Reptilia,Sauria,261.0,2.417,4.3,0.635,1.7%
Sauromalus_varius,Reptilia,Sauria,1130.3,3.053,18.8,1.275,1.7%
Varanus_beccarii,Reptilia,Sauria,421.3,2.625,7.0,0.847,1.7%
Tropidophorus_davaoensis,Reptilia,Sauria,22.9,1.361,0.4,-0.415,1.7%
Xenagama_batillifera,Reptilia,Sauria,28.1,1.449,0.5,-0.324,1.7%
Agama_impalearis,Reptilia,Sauria,36.9,1.567,0.6,-0.205,1.7%
Diploglossus_bivittatus,Reptilia,Sauria,11.3,1.052,0.2,-0.718,1.7%
Calotes_versicolor,Reptilia,Sauria,21.1,1.324,0.4,-0.446,1.7%
Laudakia_tuberculata,Reptilia,Sauria,48.6,1.687,0.8,-0.077,1.7%
Nucras_lalandii,Reptilia,Sauria,16.3,1.211,0.3,-0.553,1.7%
Tiliqua_scincoides,Reptilia,Sauria,852.8,2.931,14.9,1.172,1.7%
Varanus_griseus,Reptilia,Sauria,887.2,2.948,15.5,1.191,1.7%
Cyclura_ricordi,Reptilia,Sauria,1681.0,3.226,29.4,1.468,1.7%
Corytophanes_percarinatus,Reptilia,Sauria,32.2,1.508,0.6,-0.243,1.8%
Lygosoma_punctata,Reptilia,Sauria,12.0,1.080,0.2,-0.668,1.8%
Varanus_mitchelli,Reptilia,Sauria,237.3,2.375,4.2,0.627,1.8%
Pogona_henrylawsoni,Reptilia,Sauria,62.4,1.795,1.1,0.049,1.8%
Calotes_nemoricola,Reptilia,Sauria,25.9,1.413,0.5,-0.333,1.8%
Abronia_fimbriata,Reptilia,Sauria,16.5,1.218,0.3,-0.527,1.8%
Varanus_marmoratus,Reptilia,Sauria,1774.1,3.249,32.0,1.505,1.8%
Mabuya_mabouya,Reptilia,Sauria,21.8,1.338,0.4,-0.403,1.8%
Uromastyx_benti,Reptilia,Sauria,170.4,2.232,3.1,0.491,1.8%
Varanus_gouldii,Reptilia,Sauria,509.2,2.707,9.3,0.968,1.8%
Tropidophorus_grayi,Reptilia,Sauria,23.1,1.363,0.4,-0.372,1.8%
Emoia_sanfordi,Reptilia,Sauria,21.4,1.331,0.4,-0.403,1.8%
Conolophus_subcristatus,Reptilia,Sauria,2385.5,3.378,44.3,1.646,1.9%
Gonocephalus_grandis,Reptilia,Sauria,59.9,1.778,1.1,0.049,1.9%
Amphisbaena_ibijara,Reptilia,Sauria,3.7,0.573,0.1,-1.150,1.9%
Homopholis_walbergii,Reptilia,Sauria,16.3,1.213,0.3,-0.509,1.9%
Trachylepis_perrotetii,Reptilia,Sauria,17.5,1.242,0.3,-0.477,1.9%
Tupinambis_teguixin,Reptilia,Sauria,1117.5,3.048,21.4,1.331,1.9%
Agama_picticauda,Reptilia,Sauria,57.4,1.759,1.1,0.049,2.0%
Timon_lepidus,Reptilia,Sauria,75.5,1.878,1.5,0.173,2.0%
Chamaeleo_namaquensis,Reptilia,Sauria,37.6,1.575,0.7,-0.129,2.0%
Barisia_ciliaris,Reptilia,Sauria,18.5,1.267,0.4,-0.435,2.0%
Abronia_graminea,Reptilia,Sauria,18.5,1.266,0.4,-0.435,2.0%
Cyclura_cychlura,Reptilia,Sauria,1622.9,3.210,32.4,1.510,2.0%
Varanus_spenceri,Reptilia,Sauria,1469.0,3.167,29.6,1.471,2.0%
Agama_rueppelli,Reptilia,Sauria,15.0,1.176,0.3,-0.518,2.0%
Tiliqua_multifasciata,Reptilia,Sauria,333.3,2.523,6.8,0.833,2.0%
Varanus_tristis,Reptilia,Sauria,222.0,2.346,4.5,0.658,2.0%
Abronia_taeniata,Reptilia,Sauria,12.9,1.110,0.3,-0.575,2.1%
Sauromalus_hispidus,Reptilia,Sauria,838.0,2.923,17.4,1.240,2.1%
Acanthosaura_lepidogaster,Reptilia,Sauria,24.4,1.388,0.5,-0.293,2.1%
Timon_princeps,Reptilia,Sauria,46.2,1.664,1.0,-0.016,2.1%
Sitana_ponticeriana,Reptilia,Sauria,4.4,0.642,0.1,-1.036,2.1%
Plestiodon_laticeps,Reptilia,Sauria,19.2,1.283,0.4,-0.393,2.1%
Cophotis_ceylanica,Reptilia,Sauria,7.0,0.847,0.1,-0.826,2.1%
Uromastyx_thomasi,Reptilia,Sauria,155.0,2.190,3.3,0.520,2.1%
Elgaria_coerulea,Reptilia,Sauria,11.7,1.067,0.2,-0.602,2.1%
Brachymeles_talinis,Reptilia,Sauria,33.6,1.526,0.7,-0.139,2.2%
Varanus_macraei,Reptilia,Sauria,473.9,2.676,10.3,1.013,2.2%
Anguis_fragilis,Reptilia,Sauria,18.8,1.274,0.4,-0.388,2.2%
Varanus_scalaris,Reptilia,Sauria,151.8,2.181,3.3,0.520,2.2%
Japalura_kumaonensis,Reptilia,Sauria,7.9,0.896,0.2,-0.764,2.2%
Gonocephalus_bellii,Reptilia,Sauria,48.8,1.689,1.1,0.029,2.2%
Trioceros_deremensis,Reptilia,Sauria,73.4,1.866,1.6,0.206,2.2%
Ateuchosaurus_chinensis,Reptilia,Sauria,10.4,1.016,0.2,-0.639,2.2%
Stellagama_stellio,Reptilia,Sauria,39.8,1.599,0.9,-0.055,2.2%
Agama_hispida,Reptilia,Sauria,32.1,1.506,0.7,-0.145,2.2%
Mesaspis_monticola,Reptilia,Sauria,5.6,0.750,0.1,-0.900,2.2%
Agama_mossambica,Reptilia,Sauria,35.4,1.549,0.8,-0.100,2.2%
Lacerta_schreiberi,Reptilia,Sauria,31.1,1.492,0.7,-0.150,2.3%
Dalophia_pistillum,Reptilia,Sauria,51.8,1.714,1.2,0.073,2.3%
Gonocephalus_liogaster,Reptilia,Sauria,48.8,1.689,1.1,0.049,2.3%
Agama_atra,Reptilia,Sauria,22.2,1.346,0.5,-0.293,2.3%
Agama_lionotus,Reptilia,Sauria,29.3,1.467,0.7,-0.169,2.3%
Aristelliger_lar,Reptilia,Sauria,31.8,1.503,0.7,-0.129,2.3%
Oligosoma_fallai,Reptilia,Sauria,38.8,1.589,0.9,-0.042,2.3%
Acanthocercus_atricollis,Reptilia,Sauria,50.1,1.700,1.2,0.069,2.3%
Uroplatus_fimbriatus,Reptilia,Sauria,89.0,1.949,2.1,0.323,2.4%
Chamaeleo_chamaeleon,Reptilia,Sauria,29.8,1.474,0.7,-0.152,2.4%
Lacerta_media,Reptilia,Sauria,33.4,1.523,0.8,-0.101,2.4%
Trachylepis_buettneri,Reptilia,Sauria,6.8,0.834,0.2,-0.790,2.4%
Emoia_samoensis,Reptilia,Sauria,20.5,1.312,0.5,-0.309,2.4%
Basiliscus_vittatus,Reptilia,Sauria,49.3,1.693,1.2,0.072,2.4%
Cyrtodactylus_consobrinus,Reptilia,Sauria,31.3,1.496,0.8,-0.124,2.4%
Mesaspis_gadovii,Reptilia,Sauria,8.4,0.924,0.2,-0.694,2.4%
Lygosoma_corpulentum,Reptilia,Sauria,75.2,1.876,1.8,0.259,2.4%
Tropidophorus_mocquardii,Reptilia,Sauria,18.2,1.261,0.4,-0.355,2.4%
Barisia_herrerae,Reptilia,Sauria,22.2,1.346,0.5,-0.267,2.4%
Gehyra_vorax,Reptilia,Sauria,42.8,1.631,1.0,0.021,2.5%
Polychrus_gutturosus,Reptilia,Sauria,106.4,2.027,2.6,0.419,2.5%
Eutropis_carinata,Reptilia,Sauria,14.5,1.162,0.4,-0.442,2.5%
Trachylepis_brevicollis,Reptilia,Sauria,31.6,1.500,0.8,-0.100,2.5%
Furcifer_verrucosus,Reptilia,Sauria,27.4,1.438,0.7,-0.161,2.5%
Barisia_rudicollis,Reptilia,Sauria,20.5,1.311,0.5,-0.287,2.5%
Paralaudakia_lehmanni,Reptilia,Sauria,58.9,1.770,1.5,0.171,2.5%
Chamaeleo_laevigatus,Reptilia,Sauria,27.4,1.437,0.7,-0.161,2.5%
Tropidophorus_murphyi,Reptilia,Sauria,14.0,1.145,0.4,-0.452,2.5%
Salea_horsfieldii,Reptilia,Sauria,11.3,1.053,0.3,-0.543,2.5%
Cyclura_nubila,Reptilia,Sauria,1871.4,3.272,47.6,1.678,2.5%
Polychrus_acutirostris,Reptilia,Sauria,46.3,1.665,1.2,0.072,2.5%
Rhacodactylus_leachianus,Reptilia,Sauria,171.2,2.234,4.4,0.643,2.6%
Sphenomorphus_brunneus,Reptilia,Sauria,9.5,0.979,0.2,-0.611,2.6%
Gekko_smithii,Reptilia,Sauria,56.6,1.753,1.5,0.163,2.6%
Trachylepis_albilabris,Reptilia,Sauria,7.8,0.892,0.2,-0.698,2.6%
Zygaspis_quadrifrons,Reptilia,Sauria,1.9,0.270,0.0,-1.317,2.6%
Calotes_chincollium,Reptilia,Sauria,44.0,1.644,1.2,0.061,2.6%
Varanus_semiremex,Reptilia,Sauria,212.3,2.327,5.6,0.745,2.6%
Gowidon_longirostris,Reptilia,Sauria,25.9,1.413,0.7,-0.169,2.6%
Diploderma_swinhonis,Reptilia,Sauria,10.0,0.998,0.3,-0.581,2.6%
Agama_mwanzae,Reptilia,Sauria,36.8,1.565,1.0,-0.013,2.6%
Sphenomorphus_nigrolineatus,Reptilia,Sauria,5.3,0.720,0.1,-0.856,2.7%
Ptychoglossus_brevifrontalis,Reptilia,Sauria,4.5,0.657,0.1,-0.918,2.7%
Trachylepis_margaritifera,Reptilia,Sauria,19.3,1.284,0.5,-0.287,2.7%
Oligosoma_macgregori,Reptilia,Sauria,26.8,1.428,0.7,-0.139,2.7%
Ctenosaura_oedirhina,Reptilia,Sauria,356.6,2.552,9.7,0.987,2.7%
Anolis_baleatus,Reptilia,Sauria,54.4,1.735,1.5,0.171,2.7%
Otosaurus_cumingi,Reptilia,Sauria,39.9,1.601,1.1,0.037,2.7%
Liolaemus_signifer,Reptilia,Sauria,23.1,1.364,0.6,-0.196,2.8%
Ophiodes_fragilis,Reptilia,Sauria,27.4,1.438,0.8,-0.122,2.8%
Sitana_sivalensis,Reptilia,Sauria,2.7,0.432,0.1,-1.127,2.8%
Mesaspis_juarezi,Reptilia,Sauria,4.6,0.658,0.1,-0.900,2.8%
Liolaemus_rothi,Reptilia,Sauria,20.6,1.313,0.6,-0.245,2.8%
Anolis_chamaeleonides,Reptilia,Sauria,68.6,1.836,1.9,0.278,2.8%
Conolophus_pallidus,Reptilia,Sauria,1590.8,3.202,44.3,1.646,2.8%
Gonatodes_ceciliae,Reptilia,Sauria,3.1,0.488,0.1,-1.065,2.8%
Agama_aculeata,Reptilia,Sauria,20.5,1.311,0.6,-0.242,2.8%
Phrynosoma_douglasii,Reptilia,Sauria,12.8,1.108,0.4,-0.444,2.8%
Phrynosoma_cornutum,Reptilia,Sauria,17.1,1.232,0.5,-0.315,2.8%
Lacerta_pamphylica,Reptilia,Sauria,19.0,1.280,0.5,-0.268,2.8%
Ctenotus_grandis,Reptilia,Sauria,21.1,1.325,0.6,-0.222,2.8%
Pseudocordylus_melanotus,Reptilia,Sauria,30.7,1.488,0.9,-0.058,2.8%
Plestiodon_septentrionalis,Reptilia,Sauria,7.5,0.877,0.2,-0.668,2.8%
Hemidactylus_hunae,Reptilia,Sauria,26.3,1.420,0.8,-0.124,2.9%
Trachylepis_maculilabris,Reptilia,Sauria,7.5,0.876,0.2,-0.668,2.9%
Plestiodon_tamdaoensis,Reptilia,Sauria,27.8,1.445,0.8,-0.100,2.9%
Calotes_liocephalus,Reptilia,Sauria,17.8,1.252,0.5,-0.293,2.9%
Trioceros_jacksonii,Reptilia,Sauria,27.9,1.445,0.8,-0.098,2.9%
Plestiodon_obsoletus,Reptilia,Sauria,31.6,1.499,0.9,-0.042,2.9%
Chalcides_lanzai,Reptilia,Sauria,38.8,1.589,1.1,0.048,2.9%
Plestiodon_sumichrasti,Reptilia,Sauria,9.7,0.985,0.3,-0.556,2.9%
Phyllodactylus_tuberculosus,Reptilia,Sauria,11.7,1.068,0.3,-0.472,2.9%
Calotes_bachae,Reptilia,Sauria,20.9,1.321,0.6,-0.217,2.9%
Egernia_kingii,Reptilia,Sauria,233.8,2.369,6.8,0.833,2.9%
Furcifer_pardalis,Reptilia,Sauria,24.8,1.394,0.7,-0.140,2.9%
Tropidurus_semitaeniatus,Reptilia,Sauria,13.4,1.126,0.4,-0.407,2.9%
Ctenophorus_reticulatus,Reptilia,Sauria,11.9,1.075,0.3,-0.458,2.9%
Zygaspis_nigra,Reptilia,Sauria,4.1,0.616,0.1,-0.916,2.9%
Mabuya_dominicana,Reptilia,Sauria,14.2,1.151,0.4,-0.379,2.9%
Bradypodion_ventrale,Reptilia,Sauria,16.1,1.208,0.5,-0.323,3.0%
Sceloporus_olivaceus,Reptilia,Sauria,24.4,1.388,0.7,-0.141,3.0%
Sphenomorphus_indicus,Reptilia,Sauria,10.0,1.000,0.3,-0.529,3.0%
Varanus_indicus,Reptilia,Sauria,629.2,2.799,18.6,1.271,3.0%
Trachylepis_sparsa,Reptilia,Sauria,11.9,1.076,0.4,-0.452,3.0%
Gonocephalus_sophiae,Reptilia,Sauria,37.7,1.577,1.1,0.049,3.0%
Anolis_leachii,Reptilia,Sauria,9.1,0.959,0.3,-0.568,3.0%
Aspidoscelis_burti,Reptilia,Sauria,31.8,1.502,0.9,-0.024,3.0%
Cyclodomorphus_maximus,Reptilia,Sauria,154.2,2.188,4.6,0.663,3.0%
Zootoca_vivipara,Reptilia,Sauria,5.3,0.724,0.2,-0.800,3.0%
Paralaudakia_microlepis,Reptilia,Sauria,64.6,1.810,1.9,0.288,3.0%
Trachylepis_spilogaster,Reptilia,Sauria,8.7,0.938,0.3,-0.583,3.0%
Chalcides_ocellatus,Reptilia,Sauria,28.7,1.459,0.9,-0.061,3.0%
Uromastyx_ornata,Reptilia,Sauria,124.5,2.095,3.8,0.576,3.0%
Sceloporus_cyanogenys,Reptilia,Sauria,37.1,1.569,1.1,0.052,3.0%
Moloch_horridus,Reptilia,Sauria,40.3,1.605,1.2,0.089,3.0%
Karusasaurus_jordani,Reptilia,Sauria,50.4,1.702,1.5,0.186,3.0%
Calotes_emma,Reptilia,Sauria,31.4,1.497,1.0,-0.013,3.1%
Plestiodon_quadrilineatus,Reptilia,Sauria,8.1,0.911,0.3,-0.597,3.1%
Cyclodomorphus_michaeli,Reptilia,Sauria,44.5,1.649,1.4,0.141,3.1%
Paralaudakia_caucasia,Reptilia,Sauria,64.8,1.811,2.0,0.305,3.1%
Gonocephalus_bornensis,Reptilia,Sauria,44.9,1.653,1.4,0.146,3.1%
Pogona_mitchelli,Reptilia,Sauria,48.8,1.689,1.5,0.183,3.1%
Emoia_nigra,Reptilia,Sauria,23.2,1.366,0.7,-0.139,3.1%
Haemodracon_riebeckii,Reptilia,Sauria,31.2,1.495,1.0,-0.010,3.1%
Heloderma_horridum,Reptilia,Sauria,991.1,2.996,31.1,1.492,3.1%
Liolaemus_andinus,Reptilia,Sauria,20.2,1.306,0.6,-0.196,3.1%
Ameiva_ameiva,Reptilia,Sauria,50.9,1.707,1.6,0.205,3.1%
Tarentola_americana,Reptilia,Sauria,20.1,1.304,0.6,-0.197,3.2%
Diporiphora_valens,Reptilia,Sauria,11.0,1.043,0.3,-0.458,3.2%
Polychrus_marmoratus,Reptilia,Sauria,53.9,1.732,1.7,0.231,3.2%
Trapelus_pallidus,Reptilia,Sauria,12.6,1.099,0.4,-0.400,3.2%
Hoplodactylus_duvaucelii,Reptilia,Sauria,32.1,1.506,1.0,0.008,3.2%
Scincella_silvicola,Reptilia,Sauria,3.7,0.574,0.1,-0.924,3.2%
Trachylepis_striata,Reptilia,Sauria,11.1,1.044,0.4,-0.452,3.2%
Epibator_nigrofasciolatus,Reptilia,Sauria,17.0,1.231,0.5,-0.265,3.2%
Scincella_modesta,Reptilia,Sauria,2.6,0.408,0.1,-1.083,3.2%
Dactylocnemis_pacificus,Reptilia,Sauria,12.9,1.111,0.4,-0.380,3.2%
Amphisbaena_occidentalis,Reptilia,Sauria,3.4,0.534,0.1,-0.957,3.2%
Tropidophorus_cocincinensis,Reptilia,Sauria,10.9,1.038,0.4,-0.452,3.2%
Cyclura_rileyi,Reptilia,Sauria,526.1,2.721,17.0,1.231,3.2%
Ptychozoon_nicobarensis,Reptilia,Sauria,15.4,1.187,0.5,-0.303,3.2%
Aspidoscelis_sonorae,Reptilia,Sauria,15.6,1.194,0.5,-0.295,3.2%
Varanus_rosenbergi,Reptilia,Sauria,638.1,2.805,20.7,1.316,3.2%
Thecadactylus_rapicauda,Reptilia,Sauria,33.9,1.530,1.1,0.041,3.2%
Hemidactylus_tanganicus,Reptilia,Sauria,8.9,0.951,0.3,-0.536,3.3%
Morethia_adelaidensis,Reptilia,Sauria,2.2,0.333,0.1,-1.152,3.3%
Sphenomorphus_praesignis,Reptilia,Sauria,32.7,1.515,1.1,0.030,3.3%
Lyriocephalus_scutatus,Reptilia,Sauria,97.6,1.989,3.2,0.506,3.3%
Ctenosaura_flavidorsalis,Reptilia,Sauria,88.1,1.945,2.9,0.463,3.3%
Lophognathus_gilberti,Reptilia,Sauria,19.4,1.288,0.6,-0.193,3.3%
Amphibolurus_norrisi,Reptilia,Sauria,26.5,1.424,0.9,-0.055,3.3%
Lanthanotus_borneensis,Reptilia,Sauria,104.6,2.020,3.5,0.541,3.3%
Sauromalus_ater,Reptilia,Sauria,196.0,2.292,6.5,0.814,3.3%
Agama_boueti,Reptilia,Sauria,22.6,1.355,0.8,-0.122,3.3%
Lacerta_strigata,Reptilia,Sauria,21.8,1.339,0.7,-0.136,3.3%
Pedioplanis_lineoocellata,Reptilia,Sauria,5.1,0.704,0.2,-0.769,3.4%
Ophiodes_striatus,Reptilia,Sauria,23.7,1.375,0.8,-0.098,3.4%
Liolaemus_ruibali,Reptilia,Sauria,5.7,0.756,0.2,-0.718,3.4%
Cyclodomorphus_casuarinae,Reptilia,Sauria,42.7,1.631,1.4,0.158,3.4%
Varanus_glebopalma,Reptilia,Sauria,271.8,2.434,9.1,0.961,3.4%
Diporiphora_superba,Reptilia,Sauria,15.1,1.180,0.5,-0.293,3.4%
Ctenophorus_scutulatus,Reptilia,Sauria,21.2,1.326,0.7,-0.145,3.4%
Lacerta_viridis,Reptilia,Sauria,24.5,1.390,0.8,-0.081,3.4%
Cyrtodactylus_pulchellus,Reptilia,Sauria,26.4,1.422,0.9,-0.049,3.4%
Anolis_biporcatus,Reptilia,Sauria,14.2,1.152,0.5,-0.316,3.4%
Mabuya_parviterrae,Reptilia,Sauria,23.7,1.374,0.8,-0.094,3.4%
Anolis_equestris,Reptilia,Sauria,57.3,1.758,1.9,0.290,3.4%
Anolis_capito,Reptilia,Sauria,12.7,1.103,0.4,-0.363,3.4%
Trachylepis_occidentalis,Reptilia,Sauria,15.9,1.201,0.5,-0.265,3.4%
Varanus_prasinus,Reptilia,Sauria,269.3,2.430,9.2,0.965,3.4%
Emoia_lawesi,Reptilia,Sauria,16.6,1.221,0.6,-0.243,3.4%
Gallotia_simonyi,Reptilia,Sauria,91.0,1.959,3.1,0.496,3.4%
Hemidactylus_maculatus,Reptilia,Sauria,21.8,1.339,0.8,-0.124,3.4%
Platysaurus_intermedius,Reptilia,Sauria,11.0,1.043,0.4,-0.420,3.4%
Laudakia_nupta,Reptilia,Sauria,92.9,1.968,3.2,0.506,3.4%
Mesaspis_moreletii,Reptilia,Sauria,7.3,0.862,0.3,-0.600,3.5%
Plestiodon_elegans,Reptilia,Sauria,8.6,0.932,0.3,-0.529,3.5%
Ceratophora_tennentii,Reptilia,Sauria,9.3,0.968,0.3,-0.493,3.5%
Anolis_landestoyi,Reptilia,Sauria,43.8,1.642,1.5,0.182,3.5%
Dracaena_guianensis,Reptilia,Sauria,1150.3,3.061,40.0,1.602,3.5%
Heloderma_exasperatum,Reptilia,Sauria,893.1,2.951,31.1,1.492,3.5%
Rhampholeon_marshalli,Reptilia,Sauria,8.9,0.948,0.3,-0.510,3.5%
Enyalius_perditus,Reptilia,Sauria,13.8,1.140,0.5,-0.314,3.5%
